    ,name                  ,class_name  ,input_shape          ,output_shape         ,nb_params
151 ,layer4.0.relu         ,ReLU        ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,0
152 ,layer4.0              ,Bottleneck  ,"(-1, 1024, 14, 14)" ,"(-1, 2048, 7, 7)"   ,tensor(6039552)
153 ,layer4.1.conv1        ,Conv2d      ,"(-1, 2048, 7, 7)"   ,"(-1, 512, 7, 7)"    ,tensor(1048576)
154 ,layer4.1.bn1          ,BatchNorm2d ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(1024)
155 ,layer4.1.relu         ,ReLU        ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,0
156 ,layer4.1.conv2        ,Conv2d      ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(2359296)
157 ,layer4.1.bn2          ,BatchNorm2d ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(1024)
158 ,layer4.1.relu         ,ReLU        ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,0
159 ,layer4.1.conv3        ,Conv2d      ,"(-1, 512, 7, 7)"    ,"(-1, 2048, 7, 7)"   ,tensor(1048576)
160 ,layer4.1.bn3          ,BatchNorm2d ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,tensor(4096)
161 ,layer4.1.relu         ,ReLU        ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,0
162 ,layer4.1              ,Bottleneck  ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,tensor(4462592)
163 ,layer4.2.conv1        ,Conv2d      ,"(-1, 2048, 7, 7)"   ,"(-1, 512, 7, 7)"    ,tensor(1048576)
164 ,layer4.2.bn1          ,BatchNorm2d ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(1024)
165 ,layer4.2.relu         ,ReLU        ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,0
166 ,layer4.2.conv2        ,Conv2d      ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(2359296)
167 ,layer4.2.bn2          ,BatchNorm2d ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,tensor(1024)
168 ,layer4.2.relu         ,ReLU        ,"(-1, 512, 7, 7)"    ,"(-1, 512, 7, 7)"    ,0
169 ,layer4.2.conv3        ,Conv2d      ,"(-1, 512, 7, 7)"    ,"(-1, 2048, 7, 7)"   ,tensor(1048576)
170 ,layer4.2.bn3          ,BatchNorm2d ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,tensor(4096)
171 ,layer4.2.relu         ,ReLU        ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,0
172 ,layer4.2              ,Bottleneck  ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 7, 7)"   ,tensor(4462592)
173 ,avgpool               ,AvgPool2d   ,"(-1, 2048, 7, 7)"   ,"(-1, 2048, 1, 1)"   ,0
174 ,fc                    ,Linear      ,"(-1, 2048)"         ,"(-1, 4)"            ,tensor(8196)
