    ,name                                      ,class_name              ,input_shape          ,output_shape         ,nb_params
139 ,_blocks.9._bn2                            ,BatchNorm2d             ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(224)
140 ,_blocks.9                                 ,MBConvBlock             ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(208572)
141 ,_blocks.10._expand_conv.static_padding    ,Identity                ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,0
142 ,_blocks.10._expand_conv                   ,Conv2dStaticSamePadding ,"(-1, 112, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(75264)
143 ,_blocks.10._bn0                           ,BatchNorm2d             ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
144 ,_blocks.10._depthwise_conv.static_padding ,ZeroPad2d               ,"(-1, 672, 14, 14)"  ,"(-1, 672, 18, 18)"  ,0
145 ,_blocks.10._depthwise_conv                ,Conv2dStaticSamePadding ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(16800)
146 ,_blocks.10._bn1                           ,BatchNorm2d             ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
147 ,_blocks.10._se_reduce.static_padding      ,Identity                ,"(-1, 672, 1, 1)"    ,"(-1, 672, 1, 1)"    ,0
148 ,_blocks.10._se_reduce                     ,Conv2dStaticSamePadding ,"(-1, 672, 1, 1)"    ,"(-1, 28, 1, 1)"     ,tensor(18844)
149 ,_blocks.10._se_expand.static_padding      ,Identity                ,"(-1, 28, 1, 1)"     ,"(-1, 28, 1, 1)"     ,0
150 ,_blocks.10._se_expand                     ,Conv2dStaticSamePadding ,"(-1, 28, 1, 1)"     ,"(-1, 672, 1, 1)"    ,tensor(19488)
151 ,_blocks.10._project_conv.static_padding   ,Identity                ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,0
152 ,_blocks.10._project_conv                  ,Conv2dStaticSamePadding ,"(-1, 672, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(75264)
153 ,_blocks.10._bn2                           ,BatchNorm2d             ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(224)
154 ,_blocks.10                                ,MBConvBlock             ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,tensor(208572)
155 ,_blocks.11._expand_conv.static_padding    ,Identity                ,"(-1, 112, 14, 14)"  ,"(-1, 112, 14, 14)"  ,0
156 ,_blocks.11._expand_conv                   ,Conv2dStaticSamePadding ,"(-1, 112, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(75264)
157 ,_blocks.11._bn0                           ,BatchNorm2d             ,"(-1, 672, 14, 14)"  ,"(-1, 672, 14, 14)"  ,tensor(1344)
158 ,_blocks.11._depthwise_conv.static_padding ,ZeroPad2d               ,"(-1, 672, 14, 14)"  ,"(-1, 672, 17, 17)"  ,0
159 ,_blocks.11._depthwise_conv                ,Conv2dStaticSamePadding ,"(-1, 672, 14, 14)"  ,"(-1, 672, 7, 7)"    ,tensor(16800)
160 ,_blocks.11._bn1                           ,BatchNorm2d             ,"(-1, 672, 7, 7)"    ,"(-1, 672, 7, 7)"    ,tensor(1344)
161 ,_blocks.11._se_reduce.static_padding      ,Identity                ,"(-1, 672, 1, 1)"    ,"(-1, 672, 1, 1)"    ,0
162 ,_blocks.11._se_reduce                     ,Conv2dStaticSamePadding ,"(-1, 672, 1, 1)"    ,"(-1, 28, 1, 1)"     ,tensor(18844)
163 ,_blocks.11._se_expand.static_padding      ,Identity                ,"(-1, 28, 1, 1)"     ,"(-1, 28, 1, 1)"     ,0
164 ,_blocks.11._se_expand                     ,Conv2dStaticSamePadding ,"(-1, 28, 1, 1)"     ,"(-1, 672, 1, 1)"    ,tensor(19488)
165 ,_blocks.11._project_conv.static_padding   ,Identity                ,"(-1, 672, 7, 7)"    ,"(-1, 672, 7, 7)"    ,0
166 ,_blocks.11._project_conv                  ,Conv2dStaticSamePadding ,"(-1, 672, 7, 7)"    ,"(-1, 192, 7, 7)"    ,tensor(129024)
167 ,_blocks.11._bn2                           ,BatchNorm2d             ,"(-1, 192, 7, 7)"    ,"(-1, 192, 7, 7)"    ,tensor(384)
168 ,_blocks.11                                ,MBConvBlock             ,"(-1, 112, 14, 14)"  ,"(-1, 192, 7, 7)"    ,tensor(262492)
169 ,_blocks.12._expand_conv.static_padding    ,Identity                ,"(-1, 192, 7, 7)"    ,"(-1, 192, 7, 7)"    ,0
170 ,_blocks.12._expand_conv                   ,Conv2dStaticSamePadding ,"(-1, 192, 7, 7)"    ,"(-1, 1152, 7, 7)"   ,tensor(221184)
171 ,_blocks.12._bn0                           ,BatchNorm2d             ,"(-1, 1152, 7, 7)"   ,"(-1, 1152, 7, 7)"   ,tensor(2304)
172 ,_blocks.12._depthwise_conv.static_padding ,ZeroPad2d               ,"(-1, 1152, 7, 7)"   ,"(-1, 1152, 11, 11)" ,0
173 ,_blocks.12._depthwise_conv                ,Conv2dStaticSamePadding ,"(-1, 1152, 7, 7)"   ,"(-1, 1152, 7, 7)"   ,tensor(28800)
174 ,_blocks.12._bn1                           ,BatchNorm2d             ,"(-1, 1152, 7, 7)"   ,"(-1, 1152, 7, 7)"   ,tensor(2304)
175 ,_blocks.12._se_reduce.static_padding      ,Identity                ,"(-1, 1152, 1, 1)"   ,"(-1, 1152, 1, 1)"   ,0
176 ,_blocks.12._se_reduce                     ,Conv2dStaticSamePadding ,"(-1, 1152, 1, 1)"   ,"(-1, 48, 1, 1)"     ,tensor(55344)
177 ,_blocks.12._se_expand.static_padding      ,Identity                ,"(-1, 48, 1, 1)"     ,"(-1, 48, 1, 1)"     ,0
178 ,_blocks.12._se_expand                     ,Conv2dStaticSamePadding ,"(-1, 48, 1, 1)"     ,"(-1, 1152, 1, 1)"   ,tensor(56448)
179 ,_blocks.12._project_conv.static_padding   ,Identity                ,"(-1, 1152, 7, 7)"   ,"(-1, 1152, 7, 7)"   ,0
180 ,_blocks.12._project_conv                  ,Conv2dStaticSamePadding ,"(-1, 1152, 7, 7)"   ,"(-1, 192, 7, 7)"    ,tensor(221184)
181 ,_blocks.12._bn2                           ,BatchNorm2d             ,"(-1, 192, 7, 7)"    ,"(-1, 192, 7, 7)"    ,tensor(384)
182 ,_blocks.12                                ,MBConvBlock             ,"(-1, 192, 7, 7)"    ,"(-1, 192, 7, 7)"    ,tensor(587952)
183 ,_blocks.13._expand_conv.static_padding    ,Identity                ,"(-1, 192, 7, 7)"    ,"(-1, 192, 7, 7)"    ,0
