    ,name                           ,class_name   ,input_shape          ,output_shape         ,nb_params
169 ,block.14.depth_conv.1          ,BatchNorm2d  ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(1920)
170 ,block.14.squeeze_block.dense.0 ,Linear       ,"(-1, 960)"          ,"(-1, 240)"          ,tensor(230640)
171 ,block.14.squeeze_block.dense.1 ,ReLU         ,"(-1, 240)"          ,"(-1, 240)"          ,0
172 ,block.14.squeeze_block.dense.2 ,Linear       ,"(-1, 240)"          ,"(-1, 960)"          ,tensor(231360)
173 ,block.14.squeeze_block.dense.3 ,h_sigmoid    ,"(-1, 960)"          ,"(-1, 960)"          ,0
174 ,block.14.squeeze_block         ,SqueezeBlock ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(462000)
175 ,block.14.point_conv.0          ,Conv2d       ,"(-1, 960, 7, 7)"    ,"(-1, 160, 7, 7)"    ,tensor(153760)
176 ,block.14.point_conv.1          ,BatchNorm2d  ,"(-1, 160, 7, 7)"    ,"(-1, 160, 7, 7)"    ,tensor(320)
177 ,block.14.point_conv.2          ,h_swish      ,"(-1, 160, 7, 7)"    ,"(-1, 160, 7, 7)"    ,0
178 ,block.14                       ,MobileBlock  ,"(-1, 160, 7, 7)"    ,"(-1, 160, 7, 7)"    ,tensor(798480)
179 ,out_conv1.0                    ,Conv2d       ,"(-1, 160, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(154560)
180 ,out_conv1.1                    ,BatchNorm2d  ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,tensor(1920)
181 ,out_conv1.2                    ,h_swish      ,"(-1, 960, 7, 7)"    ,"(-1, 960, 7, 7)"    ,0
182 ,out_conv2.0                    ,Conv2d       ,"(-1, 960, 1, 1)"    ,"(-1, 1280, 1, 1)"   ,tensor(1230080)
183 ,out_conv2.1                    ,h_swish      ,"(-1, 1280, 1, 1)"   ,"(-1, 1280, 1, 1)"   ,0
184 ,out_conv2.2                    ,Conv2d       ,"(-1, 1280, 1, 1)"   ,"(-1, 4, 1, 1)"      ,tensor(5124)
